Observation date,gas_price,int_rate,une_rate,m_supply,inflation_change,gas_price_change,int_rate_change,une_rate,m_supply_change
3/1/2006,2.425,4.59,4.7,6762.9,0.6,0.317,0.2,0,37.2
4/1/2006,2.742,4.79,4.7,6800.1,0.9,0.165,0.15,-0.1,6.8
5/1/2006,2.907,4.94,4.6,6806.9,0.5,-0.022,0.05,0,38
6/1/2006,2.885,4.99,4.6,6844.9,0.2,0.096,0.25,0.1,41.4
7/1/2006,2.981,5.24,4.7,6886.3,0.3,-0.029,0.01,0,30.8
8/1/2006,2.952,5.25,4.7,6917.1,0.2,-0.397,0,-0.2,27.1
9/1/2006,2.555,5.25,4.5,6944.2,-0.5,-0.31,0,-0.1,49.1
10/1/2006,2.245,5.25,4.4,6993.3,-0.5,-0.016,0,0.1,35.1
11/1/2006,2.229,5.25,4.5,7028.4,-0.1,0.084,-0.01,-0.1,43.2
12/1/2006,2.313,5.24,4.4,7071.6,0.1,-0.073,0.01,0.2,38
1/1/2007,2.24,5.25,4.6,7109.6,0.3,0.038,0.01,-0.1,15.7
2/1/2007,2.278,5.26,4.5,7125.3,0.5,0.285,0,-0.1,33.8
3/1/2007,2.563,5.26,4.4,7159.1,0.9,0.282,-0.01,0.1,72.2
4/1/2007,2.845,5.25,4.5,7231.3,0.6,0.301,0,-0.1,14.1
5/1/2007,3.146,5.25,4.4,7245.4,0.6,-0.09,0,0.2,33.2
6/1/2007,3.056,5.25,4.6,7278.6,0.2,-0.091,0.01,0.1,30.4
7/1/2007,2.965,5.26,4.7,7309,0,-0.179,-0.24,-0.1,76.1
8/1/2007,2.786,5.02,4.6,7385.1,-0.2,0.017,-0.08,0.1,18.1
9/1/2007,2.803,4.94,4.7,7403.2,0.3,0,-0.18,0,14
10/1/2007,2.803,4.76,4.7,7417.2,0.2,0.277,-0.27,0,24.6
11/1/2007,3.08,4.49,4.7,7441.8,0.6,-0.062,-0.25,0.3,29.8
12/1/2007,3.018,4.24,5,7471.6,-0.1,0.025,-0.3,0,33.9
1/1/2008,3.043,3.94,5,7505.5,0.5,-0.015,-0.96,-0.1,85.1
2/1/2008,3.028,2.98,4.9,7590.6,0.3,0.216,-0.37,0.2,65.6
3/1/2008,3.244,2.61,5.1,7656.2,0.9,0.214,-0.33,-0.1,43
4/1/2008,3.458,2.28,5,7699.2,0.6,0.308,-0.3,0.4,12
5/1/2008,3.766,1.98,5.4,7711.2,0.8,0.288,0.02,0.2,17.7
6/1/2008,4.054,2,5.6,7728.9,1,0.008,0.01,0.2,46.5
7/1/2008,4.062,2.01,5.8,7775.4,0.5,-0.283,-0.01,0.3,14.8
8/1/2008,3.779,2,6.1,7790.2,-0.4,-0.076,-0.19,0,69.3
9/1/2008,3.703,1.81,6.1,7859.5,-0.1,-0.652,-0.84,0.4,105.8
10/1/2008,3.051,0.97,6.5,7965.3,-1,-0.904,-0.58,0.3,50.5
11/1/2008,2.147,0.39,6.8,8015.8,-1.9,-0.46,-0.23,0.5,176.3
